date,platform,total_comments,insecurity_count,insecurity_ratio,negative_count,negative_ratio,失业担忧_count,替代焦虑_count,技能过时_count,职业焦虑_count,未来担忧_count,avg_likes,unique_users
2024-10-12,bili,9,0,0.0,0,0.0,0,0,0,0,0,25.11111111111111,9.0
2024-10-13,bili,7,0,0.0,0,0.0,0,0,0,0,0,8.0,7.0
2024-10-14,bili,2,0,0.0,0,0.0,0,0,0,0,0,3.0,2.0
2024-10-15,bili,1,0,0.0,0,0.0,0,0,0,0,0,1.0,1.0
2024-10-16,bili,5,0,0.0,0,0.0,0,0,0,0,0,8.0,5.0
2024-10-17,bili,1,0,0.0,0,0.0,0,0,0,0,0,1.0,1.0
2024-10-18,bili,1,0,0.0,0,0.0,0,0,0,0,0,3.0,1.0
2024-10-21,bili,1,0,0.0,0,0.0,0,0,0,0,0,9.0,1.0
2024-10-22,bili,1,0,0.0,0,0.0,0,0,0,0,0,2.0,1.0
2024-10-24,bili,1,0,0.0,0,0.0,0,0,0,0,0,1.0,1.0
2024-10-25,bili,8,0,0.0,0,0.0,0,0,0,0,0,0.25,2.0
2024-10-26,bili,1,0,0.0,0,0.0,0,0,0,0,0,0.0,1.0
2024-10-27,bili,1,0,0.0,0,0.0,0,0,0,0,0,0.0,1.0
2024-10-28,bili,2,0,0.0,0,0.0,0,0,0,0,0,1.0,2.0
2024-10-30,bili,1,0,0.0,0,0.0,0,0,0,0,0,0.0,1.0
2024-11-04,bili,2,0,0.0,0,0.0,0,0,0,0,0,0.0,2.0
2024-11-05,bili,1,0,0.0,0,0.0,0,0,0,0,0,0.0,1.0
2024-11-07,bili,1,0,0.0,0,0.0,0,0,0,0,0,0.0,1.0
2024-11-14,bili,1,0,0.0,0,0.0,0,0,0,0,0,0.0,1.0
2024-11-18,bili,1,0,0.0,0,0.0,0,0,0,0,0,0.0,1.0
2024-11-29,bili,1,0,0.0,0,0.0,0,0,0,0,0,0.0,1.0
2024-12-03,bili,2,0,0.0,0,0.0,0,0,0,0,0,0.5,1.0
2024-12-11,bili,1,0,0.0,0,0.0,0,0,0,0,0,0.0,1.0
2024-12-12,bili,1,0,0.0,0,0.0,0,0,0,0,0,0.0,1.0
2024-12-13,bili,1,0,0.0,0,0.0,0,0,0,0,0,0.0,1.0
2024-12-21,bili,1,0,0.0,0,0.0,0,0,0,0,0,0.0,1.0
2024-12-30,bili,1,0,0.0,0,0.0,0,0,0,0,0,0.0,1.0
2025-01-02,bili,1,0,0.0,0,0.0,0,0,0,0,0,0.0,1.0
2025-01-07,bili,1,0,0.0,0,0.0,0,0,0,0,0,0.0,1.0
2025-01-19,bili,1,0,0.0,0,0.0,0,0,0,0,0,1.0,1.0
2025-01-27,bili,24,0,0.0,0,0.0,0,0,0,0,0,151.0,22.0
2025-01-28,bili,45,0,0.0,1,0.022222222222222223,0,0,0,0,0,43.71111111111111,38.0
2025-01-29,bili,21,0,0.0,0,0.0,0,0,0,0,0,18.80952380952381,17.0
2025-01-30,bili,6,0,0.0,0,0.0,0,0,0,0,0,18.666666666666668,6.0
2025-01-31,bili,1,0,0.0,0,0.0,0,0,0,0,0,0.0,1.0
2025-02-01,bili,1,0,0.0,0,0.0,0,0,0,0,0,0.0,1.0
2025-02-06,bili,1,0,0.0,0,0.0,0,0,0,0,0,152.0,1.0
2025-02-08,bili,1,0,0.0,0,0.0,0,0,0,0,0,1.0,1.0
2025-02-09,bili,1,0,0.0,0,0.0,0,0,0,0,0,0.0,1.0
2025-02-11,bili,1,0,0.0,0,0.0,0,0,0,0,0,0.0,1.0
2025-02-12,bili,1,0,0.0,0,0.0,0,0,0,0,0,9.0,1.0
2025-02-13,bili,1,0,0.0,0,0.0,0,0,0,0,0,18.0,1.0
2025-02-14,bili,1,0,0.0,0,0.0,0,0,0,0,0,0.0,1.0
2025-02-15,bili,1,0,0.0,0,0.0,0,0,0,0,0,0.0,1.0
2025-02-16,bili,1,0,0.0,0,0.0,0,0,0,0,0,0.0,1.0
2025-02-17,bili,1,0,0.0,0,0.0,0,0,0,0,0,0.0,1.0
2025-02-18,bili,1,0,0.0,0,0.0,0,0,0,0,0,0.0,1.0
2025-02-27,bili,2,0,0.0,0,0.0,0,0,0,0,0,0.0,1.0
2025-03-01,bili,1,0,0.0,0,0.0,0,0,0,0,0,0.0,1.0
2025-03-02,bili,6,0,0.0,0,0.0,0,0,0,0,0,1.1666666666666667,6.0
2025-03-03,bili,14,0,0.0,0,0.0,0,0,0,0,0,0.9285714285714286,13.0
2025-03-04,bili,6,0,0.0,0,0.0,0,0,0,0,0,0.5,5.0
2025-03-05,bili,5,0,0.0,0,0.0,0,0,0,0,0,0.4,5.0
2025-03-06,bili,6,0,0.0,0,0.0,0,0,0,0,0,0.6666666666666666,6.0
2025-03-07,bili,9,0,0.0,0,0.0,0,0,0,0,0,0.5555555555555556,8.0
2025-03-09,bili,3,0,0.0,0,0.0,0,0,0,0,0,0.3333333333333333,2.0
2025-03-10,bili,2,0,0.0,0,0.0,0,0,0,0,0,0.0,2.0
2025-03-16,bili,1,0,0.0,0,0.0,0,0,0,0,0,0.0,1.0
2025-03-27,bili,1,0,0.0,0,0.0,0,0,0,0,0,0.0,1.0
2025-03-28,bili,1,0,0.0,0,0.0,0,0,0,0,0,0.0,1.0
2025-03-29,bili,1,0,0.0,0,0.0,0,0,0,0,0,1.0,1.0
2025-03-31,bili,1,0,0.0,0,0.0,0,0,0,0,0,0.0,1.0
2025-04-01,bili,1,0,0.0,0,0.0,0,0,0,0,0,0.0,1.0
2025-04-17,bili,3,0,0.0,0,0.0,0,0,0,0,0,0.3333333333333333,1.0
2025-04-29,bili,1,0,0.0,0,0.0,0,0,0,0,0,4.0,1.0
2025-05-02,bili,1,0,0.0,0,0.0,0,0,0,0,0,0.0,1.0
2025-05-04,bili,1,0,0.0,0,0.0,0,0,0,0,0,0.0,1.0
2025-05-25,bili,1,0,0.0,0,0.0,0,0,0,0,0,1.0,1.0
2025-06-02,bili,1,0,0.0,0,0.0,0,0,0,0,0,1.0,1.0
2025-06-04,bili,1,0,0.0,0,0.0,0,0,0,0,0,1.0,1.0
2025-06-08,bili,23,0,0.0,0,0.0,0,0,0,0,0,27.91304347826087,20.0
2025-06-09,bili,46,0,0.0,0,0.0,0,0,0,0,0,14.08695652173913,35.0
2025-06-10,bili,157,1,0.006369426751592357,0,0.0,0,0,1,0,0,6.070063694267516,129.0
2025-06-11,bili,54,1,0.018518518518518517,0,0.0,1,0,0,0,0,2.425925925925926,52.0
2025-06-12,bili,50,0,0.0,1,0.02,0,0,0,0,0,0.88,39.0
2025-06-13,bili,58,0,0.0,0,0.0,0,0,0,0,0,30.689655172413794,54.0
2025-06-14,bili,53,1,0.018867924528301886,0,0.0,0,0,1,0,0,18.056603773584907,50.0
2025-06-15,bili,25,1,0.04,0,0.0,0,0,0,1,0,89.0,24.0
2025-06-16,bili,38,0,0.0,0,0.0,0,0,0,0,0,16.894736842105264,33.0
2025-06-17,bili,43,3,0.06976744186046512,1,0.023255813953488372,0,0,3,0,0,4.465116279069767,38.0
2025-06-18,bili,25,1,0.04,0,0.0,0,0,1,0,0,1.64,25.0
2025-06-19,bili,15,0,0.0,0,0.0,0,0,0,0,0,0.13333333333333333,14.0
2025-06-20,bili,19,0,0.0,2,0.10526315789473684,0,0,0,0,0,1.263157894736842,16.0
2025-06-21,bili,11,0,0.0,0,0.0,0,0,0,0,0,11.545454545454545,11.0
2025-06-22,bili,41,0,0.0,0,0.0,0,0,0,0,0,7.951219512195122,33.0
2025-06-23,bili,37,0,0.0,0,0.0,0,0,0,0,0,2.135135135135135,31.0
2025-06-24,bili,26,0,0.0,0,0.0,0,0,0,0,0,23.846153846153847,24.0
2025-06-25,bili,96,0,0.0,2,0.020833333333333332,0,0,0,0,0,26.052083333333332,89.0
2025-06-26,bili,68,0,0.0,1,0.014705882352941176,0,0,0,0,0,16.36764705882353,64.0
2025-06-27,bili,40,0,0.0,0,0.0,0,0,0,0,0,22.775,40.0
